rank,name,artists,album,popularity
1,Like a Stone,Audioslave,Audioslave,71
2,Cherry Wine - Live,Hozier,Hozier (Expanded Edition),68
3,Ode To The Mets,The Strokes,The New Abnormal,70
4,Backseat,Balu Brigada,Portal,65
5,No Pole,Don Toliver,Love Sick (Deluxe),87
6,The Message,Still Corners,Slow Air,64
7,Paroles… paroles…,"Dalida, Alain Delon",Julien,59
8,DARE (feat. Shaun Ryder & Roses Gabor),"Gorillaz, Shaun Ryder, Roses Gabor",Demon Days,84
9,Punkrocker (feat. Iggy Pop) - As featured in Superman,"Teddybears, Iggy Pop",Soft Machine,74
10,Where Have You Been,Rihanna,Talk That Talk (Explicit),60
